ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
8922,Ready to Move,N,Lodha,11000000,NA,Unfurnished,2,NA,Resale,Apartment,Thane,2,30,N,Less than 5 years
8921,Ready to Move,N,NA,6800000,11333,Furnished,1,South,Resale,Apartment,Thane,1,7,N,15 to 20 years
8920,Ready to Move,N,Runwal Developers,16500000,12267,Semi-Furnished,3,East,Resale,Apartment,Thane,3,20,N,5 to 10 years
8919,Ready to Move,N,Madhav Shreeji Group,10000000,11050,Unfurnished,2,NA,Resale,Apartment,Thane,2,16,N,Less than 5 years
8918,Ready to Move,N,Hiranandani Group,7800000,14829,Unfurnished,1,East,Resale,Apartment,Thane,1,36,N,NA
8917,Ready to Move,N,Cosmos Group,8300000,10710,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,8,Y,10 to 15 years
8916,Ready to Move,N,Lodha,6300000,17213,Unfurnished,1,NA,Resale,Apartment,Thane,1,28,Y,Less than 5 years
8915,Ready to Move,N,Vijay Group,6000000,10619,Unfurnished,1,NA,Resale,Apartment,Thane,1,7,Y,10 to 15 years
8914,Ready to Move,N,Lodha,9500000,20925,Semi-Furnished,2,North - West,Resale,Apartment,Thane,1,29,Y,Less than 5 years
8913,Ready to Move,N,Lodha,10500000,NA,Unfurnished,3,East,Resale,Apartment,Thane,2,24,Y,New Construction
8912,Ready to Move,N,Lodha,7800000,11556,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,31,Y,Less than 5 years
8911,Ready to Move,N,Saptashree Reality,8500000,16667,Furnished,1,North - East,Resale,Apartment,Thane,1,26,Y,Less than 5 years
8910,Ready to Move,N,Lodha,5800000,11600,Semi-Furnished,1,North,Resale,Apartment,Thane,1,14,Y,New Construction
8909,Ready to Move,N,BHARAT REALTY,9500000,11965,Unfurnished,1,NA,Resale,Apartment,Thane,1,20,Y,NA
8908,Ready to Move,N,Vijay Group,5100000,8500,Semi-Furnished,1,East,Resale,Apartment,Thane,1,7,Y,10 to 15 years
8907,Ready to Move,N,Runwal Developers,11500000,11500,Unfurnished,2,NA,Resale,Apartment,Thane,2,18,N,5 to 10 years
8906,Ready to Move,N,Lodha,17000000,17932,Unfurnished,3,NA,Resale,Apartment,Thane,3,28,N,Less than 5 years
8905,Ready to Move,N,Harmony Lifestyles Group,19500000,11782,Unfurnished,3,East,Resale,Residential House,Thane,4,27,N,5 to 10 years
8904,Ready to Move,N,Cosmos Group,15000000,NA,Furnished,3,East,Resale,Apartment,Thane,3,21,N,Less than 5 years
8903,Ready to Move,N,Rustomjee,12900000,12925,Semi-Furnished,2,East,Resale,Apartment,Thane,2,36,Y,New Construction
8902,Ready to Move,Y,Narang Realty and The Wadhwa Group,65000000,35211,Unfurnished,5,East,Resale,Apartment,Thane,5,29,Y,Less than 5 years
8901,Ready to Move,N,Regency Group,13000000,11304,Unfurnished,2,East,Resale,Apartment,Thane,2,22,Y,5 to 10 years
8900,Ready to Move,N,JVM Spaces,5400000,7714,Semi-Furnished,2,North - East,Resale,Apartment,Thane,1,7,Y,New Construction
8899,Ready to Move,N,Ashwin Sheth Group,49000000,18846,Unfurnished,4,East,Resale,Apartment,Thane,4,30,Y,Less than 5 years
8898,Apr '28,Y,Godrej Properties,14400000,NA,Unfurnished,3,NA,New Property,Apartment,Thane,3,NA,Y,NA
8897,Ready to Move,N,NA,7800000,16250,Semi-Furnished,1,East,New Property,Apartment,Thane,1,7,Y,New Construction
8896,Ready to Move,N,Siddhi Group,14000000,NA,Semi-Furnished,3,NA,Resale,Apartment,Thane,3,24,N,Less than 5 years
8895,Ready to Move,N,Jaiveer Group,14500000,13426,Furnished,2,East,Resale,Apartment,Thane,3,7,N,Above 20 years
8894,Ready to Move,N,NA,6900000,10615,Unfurnished,2,East,Resale,Apartment,Thane,1,6,N,15 to 20 years
